名称,緯度,経度
三谷公民館（指定避難場所）,36.59672393,136.7369013
三谷小学校（指定避難場所）,36.595839,136.735955
薬師谷公民館（指定避難場所）,36.608065,136.70866
不動寺小学校（指定避難場所）,36.608454,136.708621
金沢競馬場（指定避難場所）,36.636515,136.674782
金沢向陽高等学校（指定避難場所）,36.624178,136.686892
湖南公民館（指定避難場所）,36.633183,136.686089
旧上平小学校（指定避難場所）,36.62776985,137.7738906
旧朝日小学校（指定避難場所）,36.622653,136.755593
花園公民館（指定避難場所）,36.633483,136.707671
花園小学校（指定避難場所）,36.632644,136.708209
森本市民体育館（指定避難場所）,36.615877,136.6925
森本公民館（指定避難場所）,36.616718,136.693325
金沢北陵高等学校（指定避難場所）,36.607317,136.692459
森本中学校（指定避難場所）,36.615833,136.691603
森本小学校（指定避難場所）,36.622793,136.693039
医王山公民館（指定避難場所）,36.562139,136.761959
医王山中学校（指定避難場所）,36.555637,136.759845
医王山小学校（指定避難場所）,36.555637,136.759845
俵公民館（指定避難場所）,36.53441,136.725022
俵芸術交流スタジオ（指定避難場所）,36.534358,136.723683
旧東浅川小学校（指定避難場所）,36.518608,136.706352
田上公民館（指定避難場所）,36.545417,136.692066
田上小学校（指定避難場所）,36.546169,136.692973
杜の里小学校（指定避難場所）,36.557429,136.686316
芝原中学校（指定避難場所）,36.491809,136.753296
湯涌小学校（指定避難場所）,36.491809,136.753296
金沢学院大学附属高等学校（指定避難場所）,36.514181,136.695481
金沢辰巳丘高校（指定避難場所）,36.520514,136.690984
犀生中学校（指定避難場所）,36.514507,136.700255
駒帰資料保管所（旧駒帰小学校）（指定避難場所）,36.483192,136.727916
犀川小学校（指定避難場所）,36.51151,136.698041
内川公民館（指定避難場所）,36.509824,136.67496
内川中学校（指定避難場所）,36.504466,136.676113
内川小学校（指定避難場所）,36.504466,136.676113
城東市民体育館（指定避難場所）,36.524789,136.691267
南小立野小学校（指定避難場所）,36.537231,136.681246
崎浦公民館（指定避難場所）,36.546794,136.680462
小立野公民館（指定避難場所）,36.550971,136.679032
金沢美術工芸大学（指定避難場所）,36.556157,136.67731
北陸学院高等学校（指定避難場所）,36.55945,136.667089
金沢商業高等学校（指定避難場所）,36.55312,136.678537
紫錦台中学校（指定避難場所）,36.558063,136.668857
小立野小学校（指定避難場所）,36.551538,136.678696
大野町公民館（指定避難場所）,36.610866,136.60288
大野町小学校（指定避難場所）,36.610354,136.60336
松寿荘（指定避難場所）,36.608001,136.599509
金石町公民館（指定避難場所）,36.604349,136.594289
金石中学校（指定避難場所）,36.60018,136.597524
城西市民体育館（指定避難場所）,36.598012,136.603011
大徳公民館（指定避難場所）,36.59234,136.609935
大徳中学校（指定避難場所）,36.590408,136.607378
木曳野小学校（指定避難場所）,36.597812,136.603864
金沢西高等学校（指定避難場所）,36.596728,136.617904
市立工業高等学校（指定避難場所）,36.592484,136.615654
大徳小学校（指定避難場所）,36.591196,136.61002
安原公民館（指定避難場所）,36.567918,136.580305
金沢龍谷高等学校（指定避難場所）,36.56595647,136.586194
緑中学校（指定避難場所）,36.570274,136.584338
安原小学校（指定避難場所）,36.566952,136.579397
二塚公民館（指定避難場所）,36.572815,136.597162
緑小学校（指定避難場所）,36.570126,136.590808
西公民館（指定避難場所）,36.586902,136.640583
西小学校（指定避難場所）,36.592157,136.636518
戸板公民館（指定避難場所）,36.57987613,136.6225111
長田中学校（指定避難場所）,36.585149,136.62912
戸板小学校（指定避難場所）,36.57923,136.622833
長田町公民館（指定避難場所）,36.575882,136.642986
長田町小学校（指定避難場所）,36.575357,136.6421
扇台公民館（指定避難場所）,36.522124,136.624092
扇台小学校（指定避難場所）,36.523109,136.624957
四十万小学校（指定避難場所）,36.50322,136.617619
鶴寿園（指定避難場所）,36.50983,136.629437
